sample_id,object_id,object_category,task,visualization_html_path,point_cloud_path,multi_channel_mask_path,review_status,keep_sample,quality_after_review,sample_issue_type,sample_notes,gripper_decision,gripper_issue_type,gripper_notes,suction_decision,suction_issue_type,suction_notes,hook_decision,hook_issue_type,hook_notes,dexterous_hand_decision,dexterous_hand_issue_type,dexterous_hand_notes
3danet_full_b8fe56eeed3951392f98be9d5bb04d17_pick_up,3danet_full_b8fe56eeed3951392f98be9d5bb04d17,Knife,pick_up,processed/visualizations/html_v3/3danet_full_b8fe56eeed3951392f98be9d5bb04d17_pick_up.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_b8fe56eeed3951392f98be9d5bb04d17.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_b8fe56eeed3951392f98be9d5bb04d17_pick_up.npy,needs_fix,yes,checked,none,,,,,refine,needs_geometry_rule,刀柄区域如果几何上面积足够可以使用suction进行pickup，理论上小吸盘可能吸附,keep,none,,keep,none,
3danet_full_b8fe56eeed3951392f98be9d5bb04d17_lift_carry,3danet_full_b8fe56eeed3951392f98be9d5bb04d17,Knife,lift_carry,processed/visualizations/html_v3/3danet_full_b8fe56eeed3951392f98be9d5bb04d17_lift_carry.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_b8fe56eeed3951392f98be9d5bb04d17.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_b8fe56eeed3951392f98be9d5bb04d17_lift_carry.npy,checked,yes,checked,none,,keep,none,,keep,none,,keep,none,,keep,none,
3danet_full_e3095ecacc36080cb398a1cfd1079875_pick_up,3danet_full_e3095ecacc36080cb398a1cfd1079875,Bowl,pick_up,processed/visualizations/html_v3/3danet_full_e3095ecacc36080cb398a1cfd1079875_pick_up.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_e3095ecacc36080cb398a1cfd1079875.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_e3095ecacc36080cb398a1cfd1079875_pick_up.npy,checked,yes,checked,none,,keep,none,,keep,none,,keep,none,,keep,none,
3danet_full_e3095ecacc36080cb398a1cfd1079875_lift_carry,3danet_full_e3095ecacc36080cb398a1cfd1079875,Bowl,lift_carry,processed/visualizations/html_v3/3danet_full_e3095ecacc36080cb398a1cfd1079875_lift_carry.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_e3095ecacc36080cb398a1cfd1079875.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_e3095ecacc36080cb398a1cfd1079875_lift_carry.npy,checked,yes,checked,none,,keep,none,,keep,none,,keep,none,,keep,none,
3danet_full_5afe31025e8574ea8d6e12c39b2d5023_pick_up,3danet_full_5afe31025e8574ea8d6e12c39b2d5023,Bag,pick_up,processed/visualizations/html_v3/3danet_full_5afe31025e8574ea8d6e12c39b2d5023_pick_up.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_5afe31025e8574ea8d6e12c39b2d5023.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_5afe31025e8574ea8d6e12c39b2d5023_pick_up.npy,needs_fix,yes,weak,none,,keep,none,,keep,none,,add_missing,needs_geometry_rule,bag的把手部分可以使用hook进行pickup操作，存在明显的内孔可勾空间,keep,none,
3danet_full_5afe31025e8574ea8d6e12c39b2d5023_lift_carry,3danet_full_5afe31025e8574ea8d6e12c39b2d5023,Bag,lift_carry,processed/visualizations/html_v3/3danet_full_5afe31025e8574ea8d6e12c39b2d5023_lift_carry.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_5afe31025e8574ea8d6e12c39b2d5023.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_5afe31025e8574ea8d6e12c39b2d5023_lift_carry.npy,needs_fix,yes,weak,none,,keep,none,,keep,none,,add_missing,missing_positive,bag的有孔把手部分能被hook进行勾起操作,keep,none,
3danet_full_5afe31025e8574ea8d6e12c39b2d5023_open_pull,3danet_full_5afe31025e8574ea8d6e12c39b2d5023,Bag,open_pull,processed/visualizations/html_v3/3danet_full_5afe31025e8574ea8d6e12c39b2d5023_open_pull.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_5afe31025e8574ea8d6e12c39b2d5023.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_5afe31025e8574ea8d6e12c39b2d5023_open_pull.npy,reject,no,weak,ambiguous_object,,,,,,,,,,,,,
3danet_full_d1a20d867c2b8f459cd6e2005048d293_pick_up,3danet_full_d1a20d867c2b8f459cd6e2005048d293,Faucet,pick_up,processed/visualizations/html_v3/3danet_full_d1a20d867c2b8f459cd6e2005048d293_pick_up.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_d1a20d867c2b8f459cd6e2005048d293.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_d1a20d867c2b8f459cd6e2005048d293_pick_up.npy,reject,no,weak,task_mismatch,,,,,,,,,,,,,
3danet_full_d1a20d867c2b8f459cd6e2005048d293_lift_carry,3danet_full_d1a20d867c2b8f459cd6e2005048d293,Faucet,lift_carry,processed/visualizations/html_v3/3danet_full_d1a20d867c2b8f459cd6e2005048d293_lift_carry.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_d1a20d867c2b8f459cd6e2005048d293.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_d1a20d867c2b8f459cd6e2005048d293_lift_carry.npy,reject,no,weak,task_mismatch,,,,,,,,,,,,,
3danet_full_d1a20d867c2b8f459cd6e2005048d293_open_pull,3danet_full_d1a20d867c2b8f459cd6e2005048d293,Faucet,open_pull,processed/visualizations/html_v3/3danet_full_d1a20d867c2b8f459cd6e2005048d293_open_pull.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_d1a20d867c2b8f459cd6e2005048d293.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_d1a20d867c2b8f459cd6e2005048d293_open_pull.npy,needs_fix,yes,weak,none,,keep,none,,keep,none,,disable,wrong_region,这个水龙头把手并无法使用hook进行操作，并没有孔洞把手,keep,none,
3danet_full_19a3ce38f92f792376c18e71fd49c4dc_pick_up,3danet_full_19a3ce38f92f792376c18e71fd49c4dc,Faucet,pick_up,processed/visualizations/html_v3/3danet_full_19a3ce38f92f792376c18e71fd49c4dc_pick_up.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_19a3ce38f92f792376c18e71fd49c4dc.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_19a3ce38f92f792376c18e71fd49c4dc_pick_up.npy,reject,no,weak,task_mismatch,,,,,,,,,,,,,
3danet_full_19a3ce38f92f792376c18e71fd49c4dc_lift_carry,3danet_full_19a3ce38f92f792376c18e71fd49c4dc,Faucet,lift_carry,processed/visualizations/html_v3/3danet_full_19a3ce38f92f792376c18e71fd49c4dc_lift_carry.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_19a3ce38f92f792376c18e71fd49c4dc.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_19a3ce38f92f792376c18e71fd49c4dc_lift_carry.npy,reject,no,weak,task_mismatch,,,,,,,,,,,,,
3danet_full_19a3ce38f92f792376c18e71fd49c4dc_open_pull,3danet_full_19a3ce38f92f792376c18e71fd49c4dc,Faucet,open_pull,processed/visualizations/html_v3/3danet_full_19a3ce38f92f792376c18e71fd49c4dc_open_pull.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_19a3ce38f92f792376c18e71fd49c4dc.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_19a3ce38f92f792376c18e71fd49c4dc_open_pull.npy,checked,yes,checked,none,,keep,none,,keep,none,,keep,none,,keep,none,
3danet_full_f4897c9b20e811f1309c3ff4f31971fa_pick_up,3danet_full_f4897c9b20e811f1309c3ff4f31971fa,Scissors,pick_up,processed/visualizations/html_v3/3danet_full_f4897c9b20e811f1309c3ff4f31971fa_pick_up.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f4897c9b20e811f1309c3ff4f31971fa.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f4897c9b20e811f1309c3ff4f31971fa_pick_up.npy,needs_fix,yes,weak,none,,keep,none,,keep,none,,add_missing,missing_positive,剪刀的把手内侧区域明显可以使用hook进行钩起操作，有明显的空孔区域,keep,none,
3danet_full_f4897c9b20e811f1309c3ff4f31971fa_lift_carry,3danet_full_f4897c9b20e811f1309c3ff4f31971fa,Scissors,lift_carry,processed/visualizations/html_v3/3danet_full_f4897c9b20e811f1309c3ff4f31971fa_lift_carry.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f4897c9b20e811f1309c3ff4f31971fa.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f4897c9b20e811f1309c3ff4f31971fa_lift_carry.npy,needs_fix,yes,weak,none,,keep,none,,keep,none,,add_missing,missing_positive,剪刀的把手内侧区域明显可以使用hook进行lift_carry操作，有明显的空孔区域,keep,none,
3danet_full_ec46d0cc7ac00f16cb72f5e3f9027736_pick_up,3danet_full_ec46d0cc7ac00f16cb72f5e3f9027736,Scissors,pick_up,processed/visualizations/html_v3/3danet_full_ec46d0cc7ac00f16cb72f5e3f9027736_pick_up.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_ec46d0cc7ac00f16cb72f5e3f9027736.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_ec46d0cc7ac00f16cb72f5e3f9027736_pick_up.npy,needs_fix,yes,weak,none,,keep,none,,keep,none,,refine,missing_positive,剪刀的把手内侧区域明显可以使用hook进行钩起操作，有明显的空孔区域,keep,none,
3danet_full_ec46d0cc7ac00f16cb72f5e3f9027736_lift_carry,3danet_full_ec46d0cc7ac00f16cb72f5e3f9027736,Scissors,lift_carry,processed/visualizations/html_v3/3danet_full_ec46d0cc7ac00f16cb72f5e3f9027736_lift_carry.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_ec46d0cc7ac00f16cb72f5e3f9027736.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_ec46d0cc7ac00f16cb72f5e3f9027736_lift_carry.npy,needs_fix,yes,weak,none,,keep,none,,keep,none,,,,剪刀的把手内侧区域明显可以使用hook进行钩起操作，有明显的空孔区域,keep,none,
3danet_full_eeafc14e4e0db2ca3b481215325f1515_pick_up,3danet_full_eeafc14e4e0db2ca3b481215325f1515,Chair,pick_up,processed/visualizations/html_v3/3danet_full_eeafc14e4e0db2ca3b481215325f1515_pick_up.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_eeafc14e4e0db2ca3b481215325f1515.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_eeafc14e4e0db2ca3b481215325f1515_pick_up.npy,needs_fix,yes,weak,none,,add_missing,needs_geometry_rule,椅背上部边缘可以通过gripper进行pickup操作,refine,over_label,椅座部分的侧面边缘不应被标记为可使用suction进行pickup，底部也不用被标注,keep,none,,add_missing,needs_geometry_rule,椅背上部边缘可以通过gripper进行pickup操作
3danet_full_eeafc14e4e0db2ca3b481215325f1515_lift_carry,3danet_full_eeafc14e4e0db2ca3b481215325f1515,Chair,lift_carry,processed/visualizations/html_v3/3danet_full_eeafc14e4e0db2ca3b481215325f1515_lift_carry.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_eeafc14e4e0db2ca3b481215325f1515.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_eeafc14e4e0db2ca3b481215325f1515_lift_carry.npy,needs_fix,yes,weak,none,,add_missing,missing_positive,对于椅背的上部分区域应该标注为可以使用dexterous_hand进行抓起的操作,refine,over_label,座椅的边缘区域和底部区域不应该被标注可使用suction进行lift操作,keep,none,,add_missing,missing_positive,对于椅背的上部分区域应该标注为可以使用dexterous_hand进行抓起的操作
3danet_full_f5d8dd0309401ebac47a35332c17cce2_pick_up,3danet_full_f5d8dd0309401ebac47a35332c17cce2,Chair,pick_up,processed/visualizations/html_v3/3danet_full_f5d8dd0309401ebac47a35332c17cce2_pick_up.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f5d8dd0309401ebac47a35332c17cce2.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f5d8dd0309401ebac47a35332c17cce2_pick_up.npy,needs_fix,yes,weak,none,,add_missing,missing_positive,椅背上部可以使用gripper进行pickup操作，或者是当前椅子的左右两个连接单杆也可以,keep,none,,add_missing,missing_positive,椅背的下部分空洞区域，hook勾在椅背的下部区域可以pickup,add_missing,missing_positive,椅背上部可以使用gripper进行pickup操作，或者是当前椅子的左右两个连接单杆也可以
3danet_full_f5d8dd0309401ebac47a35332c17cce2_lift_carry,3danet_full_f5d8dd0309401ebac47a35332c17cce2,Chair,lift_carry,processed/visualizations/html_v3/3danet_full_f5d8dd0309401ebac47a35332c17cce2_lift_carry.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f5d8dd0309401ebac47a35332c17cce2.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f5d8dd0309401ebac47a35332c17cce2_lift_carry.npy,needs_fix,yes,weak,none,,refine,missing_positive,对于椅背的上部分区域应该标注为可以使用gripper进行抓起的操作,keep,none,,add_missing,missing_positive,椅背存在大面积的可挂接边界区域，能使用hook进行勾起操作,add_missing,missing_positive,对于椅背的上部分区域应该标注为可以使用dexterous_hand进行抓起的操作
3danet_full_542223f09a872e973858be97087c26ec_pick_up,3danet_full_542223f09a872e973858be97087c26ec,Bottle,pick_up,processed/visualizations/html_v3/3danet_full_542223f09a872e973858be97087c26ec_pick_up.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_542223f09a872e973858be97087c26ec.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_542223f09a872e973858be97087c26ec_pick_up.npy,needs_fix,yes,weak,none,,keep,none,,add_missing,missing_positive,bottle的盖子水平面区域可以使用suction进行pickup操作,keep,none,,keep,none,
3danet_full_542223f09a872e973858be97087c26ec_lift_carry,3danet_full_542223f09a872e973858be97087c26ec,Bottle,lift_carry,processed/visualizations/html_v3/3danet_full_542223f09a872e973858be97087c26ec_lift_carry.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_542223f09a872e973858be97087c26ec.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_542223f09a872e973858be97087c26ec_lift_carry.npy,needs_fix,yes,weak,none,,keep,none,,add_missing,missing_positive,盖子的大平面区域可以使用suction进行吸住然后lift_carry操作，当前没有标注这个区域,keep,none,,refine,under_label,盖子区域也能用dexterous_hand进行夹取操作来提起瓶子
3danet_full_542223f09a872e973858be97087c26ec_open_pull,3danet_full_542223f09a872e973858be97087c26ec,Bottle,open_pull,processed/visualizations/html_v3/3danet_full_542223f09a872e973858be97087c26ec_open_pull.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_542223f09a872e973858be97087c26ec.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_542223f09a872e973858be97087c26ec_open_pull.npy,needs_fix,yes,weak,none,,keep,none,,add_missing,missing_positive,杯子口的平面区域可通过hook进行open操作,keep,none,,keep,none,
3danet_full_6444875e3217bf891f5f48a891d827bd_pick_up,3danet_full_6444875e3217bf891f5f48a891d827bd,Bottle,pick_up,processed/visualizations/html_v3/3danet_full_6444875e3217bf891f5f48a891d827bd_pick_up.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_6444875e3217bf891f5f48a891d827bd.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_6444875e3217bf891f5f48a891d827bd_pick_up.npy,checked,yes,checked,none,,keep,none,,keep,none,,keep,none,,keep,none,
3danet_full_6444875e3217bf891f5f48a891d827bd_lift_carry,3danet_full_6444875e3217bf891f5f48a891d827bd,Bottle,lift_carry,processed/visualizations/html_v3/3danet_full_6444875e3217bf891f5f48a891d827bd_lift_carry.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_6444875e3217bf891f5f48a891d827bd.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_6444875e3217bf891f5f48a891d827bd_lift_carry.npy,checked,yes,checked,none,,keep,none,,keep,none,,keep,none,,keep,none,
3danet_full_3420e627144ab8bcba7ad9409a09b1a9_open_pull,3danet_full_3420e627144ab8bcba7ad9409a09b1a9,Microwave,open_pull,processed/visualizations/html_v3/3danet_full_3420e627144ab8bcba7ad9409a09b1a9_open_pull.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_3420e627144ab8bcba7ad9409a09b1a9.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_3420e627144ab8bcba7ad9409a09b1a9_open_pull.npy,needs_fix,yes,weak,none,,add_missing,missing_positive,microwave的把手区域应标注为可以open,disable,executor_mismatch,当前物体无可以使用suction打开的部分,add_missing,missing_positive,微波炉正面的有孔把手可使用hook进行open操作,add_missing,missing_positive,microwave的把手区域应标注为可以open
