sample_id,object_category,task,executor,decision,issue_type,notes,point_cloud_path,source_mask_path
3danet_full_6bf1559769018cbb354b166143712fb3_pick_up,Earphone,pick_up,hook,add_missing,missing_positive,耳机头梁部分可以通过hook进行勾起操作,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_6bf1559769018cbb354b166143712fb3.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_6bf1559769018cbb354b166143712fb3_pick_up.npy
3danet_full_6bf1559769018cbb354b166143712fb3_lift_carry,Earphone,lift_carry,gripper,refine,wrong_region,耳麦部分不能使用gripper进行lift操作，夹不住,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_6bf1559769018cbb354b166143712fb3.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_6bf1559769018cbb354b166143712fb3_lift_carry.npy
3danet_full_6bf1559769018cbb354b166143712fb3_lift_carry,Earphone,lift_carry,hook,add_missing,missing_positive,耳机的耳麦的弯曲部分能使用hook进行勾起操作,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_6bf1559769018cbb354b166143712fb3.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_6bf1559769018cbb354b166143712fb3_lift_carry.npy
3danet_full_edb8e199485be4e968747a7f12307bdb_pick_up,Vase,pick_up,suction,add_missing,missing_positive,vase的盖子平面部分是可以suction进行 吸附pickup的,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_edb8e199485be4e968747a7f12307bdb.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_edb8e199485be4e968747a7f12307bdb_pick_up.npy
3danet_full_edb8e199485be4e968747a7f12307bdb_lift_carry,Vase,lift_carry,gripper,refine,under_label,vase的盖子部分也能使用gripper进行lift_carry的操作，区域标注少了,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_edb8e199485be4e968747a7f12307bdb.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_edb8e199485be4e968747a7f12307bdb_lift_carry.npy
3danet_full_edb8e199485be4e968747a7f12307bdb_lift_carry,Vase,lift_carry,suction,add_missing,missing_positive,vase的盖子大平面部分能通过suction进行lift_carry的操作，盖子有大平面部分，suction能吸住平整面区域,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_edb8e199485be4e968747a7f12307bdb.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_edb8e199485be4e968747a7f12307bdb_lift_carry.npy
3danet_full_edb8e199485be4e968747a7f12307bdb_lift_carry,Vase,lift_carry,dexterous_hand,refine,under_label,vase的盖子部分也能使用dexterous_hand进行lift_carry的操作，区域标注少了,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_edb8e199485be4e968747a7f12307bdb.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_edb8e199485be4e968747a7f12307bdb_lift_carry.npy
3danet_full_b8fe56eeed3951392f98be9d5bb04d17_pick_up,Knife,pick_up,suction,refine,needs_geometry_rule,刀柄区域如果几何上面积足够可以使用suction进行pickup，理论上小吸盘可能吸附,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_b8fe56eeed3951392f98be9d5bb04d17.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_b8fe56eeed3951392f98be9d5bb04d17_pick_up.npy
3danet_full_5afe31025e8574ea8d6e12c39b2d5023_pick_up,Bag,pick_up,hook,add_missing,needs_geometry_rule,bag的把手部分可以使用hook进行pickup操作，存在明显的内孔可勾空间,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_5afe31025e8574ea8d6e12c39b2d5023.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_5afe31025e8574ea8d6e12c39b2d5023_pick_up.npy
3danet_full_5afe31025e8574ea8d6e12c39b2d5023_lift_carry,Bag,lift_carry,hook,add_missing,missing_positive,bag的有孔把手部分能被hook进行勾起操作,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_5afe31025e8574ea8d6e12c39b2d5023.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_5afe31025e8574ea8d6e12c39b2d5023_lift_carry.npy
3danet_full_d1a20d867c2b8f459cd6e2005048d293_open_pull,Faucet,open_pull,hook,disable,wrong_region,这个水龙头把手并无法使用hook进行操作，并没有孔洞把手,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_d1a20d867c2b8f459cd6e2005048d293.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_d1a20d867c2b8f459cd6e2005048d293_open_pull.npy
3danet_full_f4897c9b20e811f1309c3ff4f31971fa_pick_up,Scissors,pick_up,hook,add_missing,missing_positive,剪刀的把手内侧区域明显可以使用hook进行钩起操作，有明显的空孔区域,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f4897c9b20e811f1309c3ff4f31971fa.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f4897c9b20e811f1309c3ff4f31971fa_pick_up.npy
3danet_full_f4897c9b20e811f1309c3ff4f31971fa_lift_carry,Scissors,lift_carry,hook,add_missing,missing_positive,剪刀的把手内侧区域明显可以使用hook进行lift_carry操作，有明显的空孔区域,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f4897c9b20e811f1309c3ff4f31971fa.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f4897c9b20e811f1309c3ff4f31971fa_lift_carry.npy
3danet_full_ec46d0cc7ac00f16cb72f5e3f9027736_pick_up,Scissors,pick_up,hook,refine,missing_positive,剪刀的把手内侧区域明显可以使用hook进行钩起操作，有明显的空孔区域,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_ec46d0cc7ac00f16cb72f5e3f9027736.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_ec46d0cc7ac00f16cb72f5e3f9027736_pick_up.npy
3danet_full_eeafc14e4e0db2ca3b481215325f1515_pick_up,Chair,pick_up,gripper,add_missing,needs_geometry_rule,椅背上部边缘可以通过gripper进行pickup操作,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_eeafc14e4e0db2ca3b481215325f1515.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_eeafc14e4e0db2ca3b481215325f1515_pick_up.npy
3danet_full_eeafc14e4e0db2ca3b481215325f1515_pick_up,Chair,pick_up,suction,refine,over_label,椅座部分的侧面边缘不应被标记为可使用suction进行pickup，底部也不用被标注,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_eeafc14e4e0db2ca3b481215325f1515.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_eeafc14e4e0db2ca3b481215325f1515_pick_up.npy
3danet_full_eeafc14e4e0db2ca3b481215325f1515_pick_up,Chair,pick_up,dexterous_hand,add_missing,needs_geometry_rule,椅背上部边缘可以通过gripper进行pickup操作,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_eeafc14e4e0db2ca3b481215325f1515.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_eeafc14e4e0db2ca3b481215325f1515_pick_up.npy
3danet_full_eeafc14e4e0db2ca3b481215325f1515_lift_carry,Chair,lift_carry,gripper,add_missing,missing_positive,对于椅背的上部分区域应该标注为可以使用dexterous_hand进行抓起的操作,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_eeafc14e4e0db2ca3b481215325f1515.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_eeafc14e4e0db2ca3b481215325f1515_lift_carry.npy
3danet_full_eeafc14e4e0db2ca3b481215325f1515_lift_carry,Chair,lift_carry,suction,refine,over_label,座椅的边缘区域和底部区域不应该被标注可使用suction进行lift操作,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_eeafc14e4e0db2ca3b481215325f1515.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_eeafc14e4e0db2ca3b481215325f1515_lift_carry.npy
3danet_full_eeafc14e4e0db2ca3b481215325f1515_lift_carry,Chair,lift_carry,dexterous_hand,add_missing,missing_positive,对于椅背的上部分区域应该标注为可以使用dexterous_hand进行抓起的操作,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_eeafc14e4e0db2ca3b481215325f1515.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_eeafc14e4e0db2ca3b481215325f1515_lift_carry.npy
3danet_full_f5d8dd0309401ebac47a35332c17cce2_pick_up,Chair,pick_up,gripper,add_missing,missing_positive,椅背上部可以使用gripper进行pickup操作，或者是当前椅子的左右两个连接单杆也可以,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f5d8dd0309401ebac47a35332c17cce2.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f5d8dd0309401ebac47a35332c17cce2_pick_up.npy
3danet_full_f5d8dd0309401ebac47a35332c17cce2_pick_up,Chair,pick_up,hook,add_missing,missing_positive,椅背的下部分空洞区域，hook勾在椅背的下部区域可以pickup,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f5d8dd0309401ebac47a35332c17cce2.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f5d8dd0309401ebac47a35332c17cce2_pick_up.npy
3danet_full_f5d8dd0309401ebac47a35332c17cce2_pick_up,Chair,pick_up,dexterous_hand,add_missing,missing_positive,椅背上部可以使用gripper进行pickup操作，或者是当前椅子的左右两个连接单杆也可以,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f5d8dd0309401ebac47a35332c17cce2.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f5d8dd0309401ebac47a35332c17cce2_pick_up.npy
3danet_full_f5d8dd0309401ebac47a35332c17cce2_lift_carry,Chair,lift_carry,gripper,refine,missing_positive,对于椅背的上部分区域应该标注为可以使用gripper进行抓起的操作,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f5d8dd0309401ebac47a35332c17cce2.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f5d8dd0309401ebac47a35332c17cce2_lift_carry.npy
3danet_full_f5d8dd0309401ebac47a35332c17cce2_lift_carry,Chair,lift_carry,hook,add_missing,missing_positive,椅背存在大面积的可挂接边界区域，能使用hook进行勾起操作,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f5d8dd0309401ebac47a35332c17cce2.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f5d8dd0309401ebac47a35332c17cce2_lift_carry.npy
3danet_full_f5d8dd0309401ebac47a35332c17cce2_lift_carry,Chair,lift_carry,dexterous_hand,add_missing,missing_positive,对于椅背的上部分区域应该标注为可以使用dexterous_hand进行抓起的操作,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f5d8dd0309401ebac47a35332c17cce2.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f5d8dd0309401ebac47a35332c17cce2_lift_carry.npy
3danet_full_542223f09a872e973858be97087c26ec_pick_up,Bottle,pick_up,suction,add_missing,missing_positive,bottle的盖子水平面区域可以使用suction进行pickup操作,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_542223f09a872e973858be97087c26ec.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_542223f09a872e973858be97087c26ec_pick_up.npy
3danet_full_542223f09a872e973858be97087c26ec_lift_carry,Bottle,lift_carry,suction,add_missing,missing_positive,盖子的大平面区域可以使用suction进行吸住然后lift_carry操作，当前没有标注这个区域,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_542223f09a872e973858be97087c26ec.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_542223f09a872e973858be97087c26ec_lift_carry.npy
3danet_full_542223f09a872e973858be97087c26ec_lift_carry,Bottle,lift_carry,dexterous_hand,refine,under_label,盖子区域也能用dexterous_hand进行夹取操作来提起瓶子,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_542223f09a872e973858be97087c26ec.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_542223f09a872e973858be97087c26ec_lift_carry.npy
3danet_full_542223f09a872e973858be97087c26ec_open_pull,Bottle,open_pull,suction,add_missing,missing_positive,杯子口的平面区域可通过hook进行open操作,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_542223f09a872e973858be97087c26ec.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_542223f09a872e973858be97087c26ec_open_pull.npy
3danet_full_3420e627144ab8bcba7ad9409a09b1a9_open_pull,Microwave,open_pull,gripper,add_missing,missing_positive,microwave的把手区域应标注为可以open,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_3420e627144ab8bcba7ad9409a09b1a9.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_3420e627144ab8bcba7ad9409a09b1a9_open_pull.npy
3danet_full_3420e627144ab8bcba7ad9409a09b1a9_open_pull,Microwave,open_pull,hook,add_missing,missing_positive,微波炉正面的有孔把手可使用hook进行open操作,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_3420e627144ab8bcba7ad9409a09b1a9.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_3420e627144ab8bcba7ad9409a09b1a9_open_pull.npy
3danet_full_3420e627144ab8bcba7ad9409a09b1a9_open_pull,Microwave,open_pull,dexterous_hand,add_missing,missing_positive,microwave的把手区域应标注为可以open,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_3420e627144ab8bcba7ad9409a09b1a9.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_3420e627144ab8bcba7ad9409a09b1a9_open_pull.npy
3danet_full_58c878d494ecbbd62835d3f06aeb6e0_open_pull,Refrigerator,open_pull,suction,add_missing,missing_positive,把手部分的大平面区域可通过suction进行open操作,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_58c878d494ecbbd62835d3f06aeb6e0.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_58c878d494ecbbd62835d3f06aeb6e0_open_pull.npy
3danet_full_c34718bd10e378186c6c61abcbd83e5a_pick_up,Mug,pick_up,gripper,refine,under_label,把手区域能通过gripper进行pickup操作，不只有杯身可以使用gripper,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_c34718bd10e378186c6c61abcbd83e5a.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_c34718bd10e378186c6c61abcbd83e5a_pick_up.npy
3danet_full_c34718bd10e378186c6c61abcbd83e5a_pick_up,Mug,pick_up,suction,add_missing,needs_geometry_rule,杯身部分的曲率需要验证查看能否通过suction进行pickup操作,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_c34718bd10e378186c6c61abcbd83e5a.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_c34718bd10e378186c6c61abcbd83e5a_pick_up.npy
3danet_full_c34718bd10e378186c6c61abcbd83e5a_pick_up,Mug,pick_up,hook,add_missing,missing_positive,把手拉环部分的区域能使用hook进行勾起操作,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_c34718bd10e378186c6c61abcbd83e5a.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_c34718bd10e378186c6c61abcbd83e5a_pick_up.npy
3danet_full_c34718bd10e378186c6c61abcbd83e5a_pick_up,Mug,pick_up,dexterous_hand,refine,under_label,把手区域能通过gripper进行pickup操作，不只有杯身可以使用gripper,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_c34718bd10e378186c6c61abcbd83e5a.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_c34718bd10e378186c6c61abcbd83e5a_pick_up.npy
3danet_full_c34718bd10e378186c6c61abcbd83e5a_lift_carry,Mug,lift_carry,gripper,refine,under_label,杯子把手部分能使用gripper进行lift_carry操作，当前没有进行标注,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_c34718bd10e378186c6c61abcbd83e5a.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_c34718bd10e378186c6c61abcbd83e5a_lift_carry.npy
3danet_full_c34718bd10e378186c6c61abcbd83e5a_lift_carry,Mug,lift_carry,hook,add_missing,missing_positive,杯子的有孔把手部分能被hook用来进行lift_carry操作,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_c34718bd10e378186c6c61abcbd83e5a.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_c34718bd10e378186c6c61abcbd83e5a_lift_carry.npy
3danet_full_c34718bd10e378186c6c61abcbd83e5a_lift_carry,Mug,lift_carry,dexterous_hand,refine,under_label,杯子把手部分能使用dexterous_hand进行lift_carry操作，当前没有进行标注,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_c34718bd10e378186c6c61abcbd83e5a.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_c34718bd10e378186c6c61abcbd83e5a_lift_carry.npy
3danet_full_f99e19b8c4a729353deb88581ea8417a_pick_up,Mug,pick_up,suction,add_missing,needs_geometry_rule,杯身部分的曲率应该通过验证后查看是否能使用suction进行pickup,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f99e19b8c4a729353deb88581ea8417a.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f99e19b8c4a729353deb88581ea8417a_pick_up.npy
3danet_full_f99e19b8c4a729353deb88581ea8417a_pick_up,Mug,pick_up,hook,add_missing,missing_positive,杯子把手部分属于可挂接的孔洞，能使用hook进行pickup操作,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f99e19b8c4a729353deb88581ea8417a.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f99e19b8c4a729353deb88581ea8417a_pick_up.npy
3danet_full_f99e19b8c4a729353deb88581ea8417a_lift_carry,Mug,lift_carry,hook,add_missing,missing_positive,杯子的有孔把手部分能使用hook对杯子进行lift_carry操作,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f99e19b8c4a729353deb88581ea8417a.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f99e19b8c4a729353deb88581ea8417a_lift_carry.npy
3danet_full_f6517b0bad40b72d36871b478a4420ba_press_push,Keyboard,press_push,dexterous_hand,refine,under_label,对于keyboard，正面的所有按键部分都是dexterous_hand可以press_push的部分,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f6517b0bad40b72d36871b478a4420ba.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f6517b0bad40b72d36871b478a4420ba_press_push.npy
3danet_full_687f75ed3da5e7c5b876ea42ec76b6cd_press_push,Keyboard,press_push,dexterous_hand,refine,under_label,对于keyboard来说，正面的所有按键部分都是可以进行press_push的区域,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_687f75ed3da5e7c5b876ea42ec76b6cd.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_687f75ed3da5e7c5b876ea42ec76b6cd_press_push.npy
3danet_full_f72dc1ffeae0168aadcfd37206a0d18b_press_push,Laptop,press_push,dexterous_hand,refine,under_label,对于laptop，电脑上的所有按键都应是可以press_push的区域，当前标注区域偏少,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f72dc1ffeae0168aadcfd37206a0d18b.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f72dc1ffeae0168aadcfd37206a0d18b_press_push.npy
