pilot_id,sample_id,object_category,task,executor,decision,issue_type,review_mode,object_task_feasible,executor_feasible,negative_reason,samples_path,pilot_reason,point_cloud_path,source_mask_path,checked_mask_path,render_output_dir
v3_review_000014,3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e_press_push,Door,press_push,suction,review,large_scale_review,point_refine,true,true,,processed/metadata/samples_v3_large_batch_v0_1.jsonl,Large-scale first-pass human review queue; candidate generation should propose top-k regions and reviewers finalize the mask.,processed/points/3d_affordancenet_full_shape_val_batch_v3/3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e_press_push.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e_press_push.npy,processed/vlm_semantic_part/renders/3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e_press_push
v3_review_000015,3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e_press_push,Door,press_push,hook,empty_review_required,executor_infeasible_empty_label,confirm_empty,true,false,no_hookable_structure,processed/metadata/samples_v3_large_batch_v0_1.jsonl,"This object-task pair is kept, but this executor channel is marked infeasible by source metadata. Reviewer should confirm the empty label unless a valid affordance region is visible.",processed/points/3d_affordancenet_full_shape_val_batch_v3/3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e_press_push.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e_press_push.npy,processed/vlm_semantic_part/renders/3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e_press_push
v3_review_000016,3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e_press_push,Door,press_push,dexterous_hand,empty_review_required,executor_infeasible_empty_label,confirm_empty,true,false,ordinary_surface_without_operation_meaning,processed/metadata/samples_v3_large_batch_v0_1.jsonl,"This object-task pair is kept, but this executor channel is marked infeasible by source metadata. Reviewer should confirm the empty label unless a valid affordance region is visible.",processed/points/3d_affordancenet_full_shape_val_batch_v3/3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e_press_push.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e_press_push.npy,processed/vlm_semantic_part/renders/3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e_press_push
v3_review_000017,3danet_full_55941165e4a7ffce368b7a773edbca80_open_pull,Door,open_pull,gripper,empty_review_required,executor_infeasible_empty_label,confirm_empty,true,false,no_graspable_region,processed/metadata/samples_v3_large_batch_v0_1.jsonl,"This object-task pair is kept, but this executor channel is marked infeasible by source metadata. Reviewer should confirm the empty label unless a valid affordance region is visible.",processed/points/3d_affordancenet_full_shape_val_batch_v3/3danet_full_55941165e4a7ffce368b7a773edbca80.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_55941165e4a7ffce368b7a773edbca80_open_pull.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_55941165e4a7ffce368b7a773edbca80_open_pull.npy,processed/vlm_semantic_part/renders/3danet_full_55941165e4a7ffce368b7a773edbca80_open_pull
v3_review_000018,3danet_full_55941165e4a7ffce368b7a773edbca80_open_pull,Door,open_pull,suction,review,large_scale_review,point_refine,true,true,,processed/metadata/samples_v3_large_batch_v0_1.jsonl,Large-scale first-pass human review queue; candidate generation should propose top-k regions and reviewers finalize the mask.,processed/points/3d_affordancenet_full_shape_val_batch_v3/3danet_full_55941165e4a7ffce368b7a773edbca80.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_55941165e4a7ffce368b7a773edbca80_open_pull.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_55941165e4a7ffce368b7a773edbca80_open_pull.npy,processed/vlm_semantic_part/renders/3danet_full_55941165e4a7ffce368b7a773edbca80_open_pull
v3_review_000019,3danet_full_55941165e4a7ffce368b7a773edbca80_open_pull,Door,open_pull,hook,empty_review_required,executor_infeasible_empty_label,confirm_empty,true,false,no_hookable_structure,processed/metadata/samples_v3_large_batch_v0_1.jsonl,"This object-task pair is kept, but this executor channel is marked infeasible by source metadata. Reviewer should confirm the empty label unless a valid affordance region is visible.",processed/points/3d_affordancenet_full_shape_val_batch_v3/3danet_full_55941165e4a7ffce368b7a773edbca80.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_55941165e4a7ffce368b7a773edbca80_open_pull.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_55941165e4a7ffce368b7a773edbca80_open_pull.npy,processed/vlm_semantic_part/renders/3danet_full_55941165e4a7ffce368b7a773edbca80_open_pull
v3_review_000020,3danet_full_55941165e4a7ffce368b7a773edbca80_open_pull,Door,open_pull,dexterous_hand,empty_review_required,executor_infeasible_empty_label,confirm_empty,true,false,ordinary_surface_without_operation_meaning,processed/metadata/samples_v3_large_batch_v0_1.jsonl,"This object-task pair is kept, but this executor channel is marked infeasible by source metadata. Reviewer should confirm the empty label unless a valid affordance region is visible.",processed/points/3d_affordancenet_full_shape_val_batch_v3/3danet_full_55941165e4a7ffce368b7a773edbca80.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_55941165e4a7ffce368b7a773edbca80_open_pull.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_55941165e4a7ffce368b7a773edbca80_open_pull.npy,processed/vlm_semantic_part/renders/3danet_full_55941165e4a7ffce368b7a773edbca80_open_pull
v3_review_000021,3danet_full_55941165e4a7ffce368b7a773edbca80_press_push,Door,press_push,gripper,empty_review_required,executor_infeasible_empty_label,confirm_empty,true,false,no_graspable_region,processed/metadata/samples_v3_large_batch_v0_1.jsonl,"This object-task pair is kept, but this executor channel is marked infeasible by source metadata. Reviewer should confirm the empty label unless a valid affordance region is visible.",processed/points/3d_affordancenet_full_shape_val_batch_v3/3danet_full_55941165e4a7ffce368b7a773edbca80.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_55941165e4a7ffce368b7a773edbca80_press_push.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_55941165e4a7ffce368b7a773edbca80_press_push.npy,processed/vlm_semantic_part/renders/3danet_full_55941165e4a7ffce368b7a773edbca80_press_push
v3_review_000022,3danet_full_55941165e4a7ffce368b7a773edbca80_press_push,Door,press_push,suction,review,large_scale_review,point_refine,true,true,,processed/metadata/samples_v3_large_batch_v0_1.jsonl,Large-scale first-pass human review queue; candidate generation should propose top-k regions and reviewers finalize the mask.,processed/points/3d_affordancenet_full_shape_val_batch_v3/3danet_full_55941165e4a7ffce368b7a773edbca80.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_55941165e4a7ffce368b7a773edbca80_press_push.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_55941165e4a7ffce368b7a773edbca80_press_push.npy,processed/vlm_semantic_part/renders/3danet_full_55941165e4a7ffce368b7a773edbca80_press_push
v3_review_000023,3danet_full_55941165e4a7ffce368b7a773edbca80_press_push,Door,press_push,hook,empty_review_required,executor_infeasible_empty_label,confirm_empty,true,false,no_hookable_structure,processed/metadata/samples_v3_large_batch_v0_1.jsonl,"This object-task pair is kept, but this executor channel is marked infeasible by source metadata. Reviewer should confirm the empty label unless a valid affordance region is visible.",processed/points/3d_affordancenet_full_shape_val_batch_v3/3danet_full_55941165e4a7ffce368b7a773edbca80.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_55941165e4a7ffce368b7a773edbca80_press_push.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_55941165e4a7ffce368b7a773edbca80_press_push.npy,processed/vlm_semantic_part/renders/3danet_full_55941165e4a7ffce368b7a773edbca80_press_push
v3_review_000024,3danet_full_55941165e4a7ffce368b7a773edbca80_press_push,Door,press_push,dexterous_hand,empty_review_required,executor_infeasible_empty_label,confirm_empty,true,false,ordinary_surface_without_operation_meaning,processed/metadata/samples_v3_large_batch_v0_1.jsonl,"This object-task pair is kept, but this executor channel is marked infeasible by source metadata. Reviewer should confirm the empty label unless a valid affordance region is visible.",processed/points/3d_affordancenet_full_shape_val_batch_v3/3danet_full_55941165e4a7ffce368b7a773edbca80.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_55941165e4a7ffce368b7a773edbca80_press_push.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_55941165e4a7ffce368b7a773edbca80_press_push.npy,processed/vlm_semantic_part/renders/3danet_full_55941165e4a7ffce368b7a773edbca80_press_push
v3_review_000025,3danet_full_ec245748cbad16b1d747a43c11e738e9_open_pull,Door,open_pull,gripper,review,large_scale_review,point_refine,true,true,,processed/metadata/samples_v3_large_batch_v0_1.jsonl,Large-scale first-pass human review queue; candidate generation should propose top-k regions and reviewers finalize the mask.,processed/points/3d_affordancenet_full_shape_val_batch_v3/3danet_full_ec245748cbad16b1d747a43c11e738e9.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_ec245748cbad16b1d747a43c11e738e9_open_pull.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_ec245748cbad16b1d747a43c11e738e9_open_pull.npy,processed/vlm_semantic_part/renders/3danet_full_ec245748cbad16b1d747a43c11e738e9_open_pull
v3_review_000026,3danet_full_ec245748cbad16b1d747a43c11e738e9_open_pull,Door,open_pull,suction,review,large_scale_review,point_refine,true,true,,processed/metadata/samples_v3_large_batch_v0_1.jsonl,Large-scale first-pass human review queue; candidate generation should propose top-k regions and reviewers finalize the mask.,processed/points/3d_affordancenet_full_shape_val_batch_v3/3danet_full_ec245748cbad16b1d747a43c11e738e9.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_ec245748cbad16b1d747a43c11e738e9_open_pull.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_ec245748cbad16b1d747a43c11e738e9_open_pull.npy,processed/vlm_semantic_part/renders/3danet_full_ec245748cbad16b1d747a43c11e738e9_open_pull
v3_review_000027,3danet_full_ec245748cbad16b1d747a43c11e738e9_open_pull,Door,open_pull,hook,empty_review_required,executor_infeasible_empty_label,confirm_empty,true,false,no_hookable_structure,processed/metadata/samples_v3_large_batch_v0_1.jsonl,"This object-task pair is kept, but this executor channel is marked infeasible by source metadata. Reviewer should confirm the empty label unless a valid affordance region is visible.",processed/points/3d_affordancenet_full_shape_val_batch_v3/3danet_full_ec245748cbad16b1d747a43c11e738e9.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_ec245748cbad16b1d747a43c11e738e9_open_pull.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_ec245748cbad16b1d747a43c11e738e9_open_pull.npy,processed/vlm_semantic_part/renders/3danet_full_ec245748cbad16b1d747a43c11e738e9_open_pull
v3_review_000028,3danet_full_ec245748cbad16b1d747a43c11e738e9_open_pull,Door,open_pull,dexterous_hand,review,large_scale_review,point_refine,true,true,,processed/metadata/samples_v3_large_batch_v0_1.jsonl,Large-scale first-pass human review queue; candidate generation should propose top-k regions and reviewers finalize the mask.,processed/points/3d_affordancenet_full_shape_val_batch_v3/3danet_full_ec245748cbad16b1d747a43c11e738e9.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_ec245748cbad16b1d747a43c11e738e9_open_pull.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_ec245748cbad16b1d747a43c11e738e9_open_pull.npy,processed/vlm_semantic_part/renders/3danet_full_ec245748cbad16b1d747a43c11e738e9_open_pull
v3_review_000029,3danet_full_ec245748cbad16b1d747a43c11e738e9_press_push,Door,press_push,gripper,empty_review_required,executor_infeasible_empty_label,confirm_empty,true,false,no_graspable_region,processed/metadata/samples_v3_large_batch_v0_1.jsonl,"This object-task pair is kept, but this executor channel is marked infeasible by source metadata. Reviewer should confirm the empty label unless a valid affordance region is visible.",processed/points/3d_affordancenet_full_shape_val_batch_v3/3danet_full_ec245748cbad16b1d747a43c11e738e9.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_ec245748cbad16b1d747a43c11e738e9_press_push.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_ec245748cbad16b1d747a43c11e738e9_press_push.npy,processed/vlm_semantic_part/renders/3danet_full_ec245748cbad16b1d747a43c11e738e9_press_push
v3_review_000030,3danet_full_ec245748cbad16b1d747a43c11e738e9_press_push,Door,press_push,suction,review,large_scale_review,point_refine,true,true,,processed/metadata/samples_v3_large_batch_v0_1.jsonl,Large-scale first-pass human review queue; candidate generation should propose top-k regions and reviewers finalize the mask.,processed/points/3d_affordancenet_full_shape_val_batch_v3/3danet_full_ec245748cbad16b1d747a43c11e738e9.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_ec245748cbad16b1d747a43c11e738e9_press_push.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_ec245748cbad16b1d747a43c11e738e9_press_push.npy,processed/vlm_semantic_part/renders/3danet_full_ec245748cbad16b1d747a43c11e738e9_press_push
v3_review_000031,3danet_full_ec245748cbad16b1d747a43c11e738e9_press_push,Door,press_push,hook,empty_review_required,executor_infeasible_empty_label,confirm_empty,true,false,no_hookable_structure,processed/metadata/samples_v3_large_batch_v0_1.jsonl,"This object-task pair is kept, but this executor channel is marked infeasible by source metadata. Reviewer should confirm the empty label unless a valid affordance region is visible.",processed/points/3d_affordancenet_full_shape_val_batch_v3/3danet_full_ec245748cbad16b1d747a43c11e738e9.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_ec245748cbad16b1d747a43c11e738e9_press_push.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_ec245748cbad16b1d747a43c11e738e9_press_push.npy,processed/vlm_semantic_part/renders/3danet_full_ec245748cbad16b1d747a43c11e738e9_press_push
v3_review_000032,3danet_full_ec245748cbad16b1d747a43c11e738e9_press_push,Door,press_push,dexterous_hand,empty_review_required,executor_infeasible_empty_label,confirm_empty,true,false,ordinary_surface_without_operation_meaning,processed/metadata/samples_v3_large_batch_v0_1.jsonl,"This object-task pair is kept, but this executor channel is marked infeasible by source metadata. Reviewer should confirm the empty label unless a valid affordance region is visible.",processed/points/3d_affordancenet_full_shape_val_batch_v3/3danet_full_ec245748cbad16b1d747a43c11e738e9.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_ec245748cbad16b1d747a43c11e738e9_press_push.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_ec245748cbad16b1d747a43c11e738e9_press_push.npy,processed/vlm_semantic_part/renders/3danet_full_ec245748cbad16b1d747a43c11e738e9_press_push
v3_review_000033,3danet_full_a84d2cc0062f235193eb56b73b144756_open_pull,Door,open_pull,gripper,review,large_scale_review,point_refine,true,true,,processed/metadata/samples_v3_large_batch_v0_1.jsonl,Large-scale first-pass human review queue; candidate generation should propose top-k regions and reviewers finalize the mask.,processed/points/3d_affordancenet_full_shape_val_batch_v3/3danet_full_a84d2cc0062f235193eb56b73b144756.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_a84d2cc0062f235193eb56b73b144756_open_pull.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_a84d2cc0062f235193eb56b73b144756_open_pull.npy,processed/vlm_semantic_part/renders/3danet_full_a84d2cc0062f235193eb56b73b144756_open_pull
v3_review_000034,3danet_full_a84d2cc0062f235193eb56b73b144756_open_pull,Door,open_pull,suction,review,large_scale_review,point_refine,true,true,,processed/metadata/samples_v3_large_batch_v0_1.jsonl,Large-scale first-pass human review queue; candidate generation should propose top-k regions and reviewers finalize the mask.,processed/points/3d_affordancenet_full_shape_val_batch_v3/3danet_full_a84d2cc0062f235193eb56b73b144756.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_a84d2cc0062f235193eb56b73b144756_open_pull.npy,processed/masks/3d_affordancenet_full_shape_val_batch_v3/3danet_full_a84d2cc0062f235193eb56b73b144756_open_pull.npy,processed/vlm_semantic_part/renders/3danet_full_a84d2cc0062f235193eb56b73b144756_open_pull
